Code_dot,Code_iata,City_name,Airport_name
13273.0,MGE,"Marietta, GA",Dobbins ARB
13632.0,MGE,"Marietta, GA",Dobbins ARB
13273.0,NCQ,"Marietta, GA",Dobbins ARB
13632.0,NCQ,"Marietta, GA",Dobbins ARB
13274.0,MGF,"Maringa, Brazil",Silvio Name Junior
13275.0,MGJ,"Montgomery, NY",Orange County
13276.0,MGL,"Dusseldorf, Germany",Moenchengladbach
13277.0,MGM,"Montgomery, AL",Montgomery Regional
13278.0,MGN,"Magangue, Colombia",Magangue Airport
13279.0,MGQ,"Mogadishu, Somalia",Aden Adde International
13280.0,MGR,"Moultrie/Thomasville, GA",Moultrie/Thomasville Airport
13281.0,MGS,"Mangaia, Cook Islands",Mangaia Cook Island
13282.0,MGW,"Morgantown, WV",Morgantown Municipal Walter L Bill Hart Field
13283.0,MGY,"Dayton, OH",Dayton-Wright Brothers
13284.0,MHA,"Mahdia, Guyana",Mahdia Airport
16629.0,MHC,"Dalcahue, Chile",Mocopulli
13286.0,MHD,"Mashhad, Iran",Shahid Hashemi Nejad International
13287.0,MHE,"Mitchell, SD",Mitchell Municipal
13288.0,MHG,"Mannheim, Germany",Mannheim City
13289.0,MHH,"Marsh Harbour, The Bahamas",Leonard M Thompson International
13290.0,MHK,"Manhattan/Ft. Riley, KS",Manhattan Regional
13291.0,MHL,"Marshall, MO",Marshall Memorial Municipal
13292.0,MHM,"Minchumina, AK",Minchumina Airport
13293.0,MHO,"Mount House, Australia",Mount House Airport
13294.0,MHQ,"Mariehamn, Finland",Mariehamn Airport
13295.0,MHR,"Sacramento, CA",Sacramento Mather
13296.0,MHT,"Manchester, NH",Manchester Boston Regional
13297.0,MHV,"Mojave, CA",Mojave Air and Space Port Rutan Field
13299.0,MHZ,"Mildenhall, United Kingdom",Mildenhall Airport
13300.0,MI1,"Greenville, MI",Greenville Municipal
13301.0,MI2,"Holland, MI",West Michigan Regional
13302.0,MI3,"Howell, MI",Livingston County Spencer J. Hardy
16424.0,MI4,"Frankfort, MI",Frankfort Dow Memorial Field
10841.0,MI5,"Boyne Falls, MI",Boyne Mountain
16683.0,MI6,"Dowagiac, MI",Dowagiac Municipal
16821.0,MI7,"South Haven, MI",South Haven Area Regional
13303.0,MIA,"Miami, FL",Miami International
13304.0,MIB,"Minot, ND",Minot AFB
13305.0,MIC,"Minneapolis, MN",Crystal
13306.0,MID,"Merida, Mexico",Merida International
13307.0,MIE,"Muncie/Anderson/Newcastle, IN",Delaware County Regional
