source,target
 8474008, 8475197
 8474008, 8470317
8471346, 8465058
8471346, 8467389
8471346, 8470281
8471346, 8474141
 8465058, 8467389
 8465058, 8470281
 8465058, 8474141
 8467389, 8470281
 8467389, 8474141
 8470281, 8474141
8462042, 8477492
8462042, 8475197
8462042, 8476455
8462042, 8475158
 8475197, 8476455
8474207, 8467331
8474207, 8471657
8474207, 8471718
8474207, 8474008
 8467331, 8471657
 8467331, 8471718
 8467331, 8474008
 8471657, 8471718
 8471657, 8474008
8474641, 8475750
8474641, 8469500
8474641, 8467351
8474641, 8470609
 8475750, 8469500
 8475750, 8467351
 8475750, 8470609
 8469500, 8467351
 8469500, 8470609
 8467351, 8470609
8471240, 8470606
8471240, 8468526
8471240, 8468508
8471240, 8474563
 8470606, 8468526
 8470606, 8468508
 8470606, 8474563
 8468526, 8468508
 8468526, 8474563
 8468508, 8474563
8469623, 8467899
8469623, 8460542
8469623, 8471233
8469623, 8472382
 8467899, 8460542
 8467899, 8471233
 8467899, 8472382
 8460542, 8471233
 8460542, 8472382
 8471233, 8472382
8476457, 8464977
8476457, 8467545
8476457, 8469500
8476457, 8472382
 8464977, 8467545
 8464977, 8469500
 8464977, 8472382
 8467545, 8469500
 8467545, 8472382
 8469500, 8472382
8472382, 8464977
8472382, 8467545
8472382, 8469500
8472382, 8476457
 8464977, 8476457
 8467545, 8476457
 8469500, 8476457
8475188, 8474563
8475188, 8468526
8475188, 8468508
 8468526, 8468483
 8468508, 8468483
8471240, 8475325
8471240, 8470617
8471240, 8474166
 8475325, 8468508
 8475325, 8470617
 8475325, 8474166
 8468508, 8470617
 8468508, 8474166
 8470617, 8474166
8470257, 8474627
8470257, 8474031
 8475768, 8474627
 8475768, 8474031
 8474627, 8475765
 8474627, 8474031
8470257, 8470654
 8475765, 8467890
 8475765, 8470654
 8467890, 8474031
 8467890, 8470654
 8474031, 8470654
8473449, 8475314
8473449, 8475166
8473449, 8473565
8473449, 8475181
 8475314, 8475166
 8475314, 8473565
 8475314, 8475181
 8475166, 8473565
 8475166, 8475181
 8473565, 8475181
8473504, 8470144
8473504, 8468598
8473504, 8471362
8473504, 8474066
 8470144, 8468598
 8470144, 8471362
 8470144, 8474066
 8468598, 8471362
 8468598, 8474066
 8471362, 8474066
8467890, 8471761
8467890, 8470257
8467890, 8470655
8467890, 8471698
 8471761, 8470257
 8471761, 8470655
 8471761, 8471698
 8470257, 8470655
 8470257, 8471698
8471698, 8473534
8471698, 8471669
8471698, 8474565
8471698, 8474031
 8473534, 8471669
 8473534, 8474565
 8473534, 8474031
 8471669, 8474565
 8471669, 8474031
 8474565, 8474031
8470655, 8471669
8470655, 8474565
 8471669, 8471698
 8471669, 8470151
 8471698, 8474565
8475177, 8474659
8475177, 8474709
8475177, 8475166
8475177, 8473449
 8474659, 8474709
 8474659, 8475166
 8474659, 8473449
 8474709, 8475166
 8474709, 8473449
 8475166, 8473449
8475768, 8474627
8475768, 8474031
8475768, 8475765
8475768, 8467890
 8474627, 8467890
8476440, 8471664
8476440, 8474577
8476440, 8469770
8476440, 8471729
 8471664, 8474577
 8471664, 8469770
 8471664, 8471729
 8474577, 8469770
 8474577, 8471729
 8469770, 8471729
8474577, 8470162
8474577, 8469770
8474577, 8471729
 8470162, 8469770
 8470162, 8471729
8475455, 8474027
8475455, 8474053
8475455, 8466139
8475455, 8474739
 8474027, 8474739
 8474053, 8474739
 8466139, 8474739
8470794, 8466138
8470794, 8474053
8470794, 8466139
8470794, 8470613
 8474053, 8470613
8470794, 8477922
8470794, 8474027
8470794, 8475455
 8466138, 8477922
 8466138, 8475455
 8477922, 8474027
 8477922, 8475455
 8474027, 8475455
8470201, 8470966
8470201, 8474673
8470201, 8476346
8470201, 8474150
 8470966, 8474673
 8470966, 8476346
 8470966, 8474150
 8474673, 8476346
 8474673, 8474150
 8476346, 8474150
8470966, 8474038
8470966, 8477497
8470966, 8474673
 8474038, 8477497
 8474038, 8474673
 8477497, 8474673
8475758, 8473492
8475758, 8470612
8475758, 8470616
8475758, 8475222
 8473492, 8470612
8470358, 8470274
8470358, 8474009
8470358, 8469465
8470358, 8469598
 8470274, 8474009
 8470274, 8469465
 8470274, 8469598
 8474009, 8469465
 8474009, 8469598
 8469465, 8469598
8473573, 8471273
8473573, 8475233
8473573, 8471677
8473573, 8473422
 8471273, 8473422
 8475233, 8473422
8477244, 8477507
8477244, 8467407
8477244, 8476888
8477244, 8475220
 8477507, 8467407
 8477507, 8476888
 8467407, 8476888
 8467407, 8475220
 8476888, 8475220
8473914, 8475233
8473914, 8471677
8473914, 8475214
8473914, 8474685
 8475233, 8475214
 8471677, 8475214
 8475214, 8474685
8475728, 8470852
8475728, 8474589
8475728, 8467407
8475728, 8474567
 8470852, 8474589
 8474589, 8467407
 8474589, 8474567
8473422, 8474715
8473422, 8474774
8473422, 8469492
 8474715, 8474774
 8474715, 8469492
 8474715, 8475793
 8474774, 8469492
