play_id,game_id,team_id_for,team_id_against,event,period,periodType,periodTime,dateTime,goals_away,goals_home,description,eventTime,on_ice_for
2014020601_249,2014020601,19.0,28.0,Goal,3,REGULAR,719,2015-01-09 03:19:28,2,7,"David Backes (14) Snap Shot, assists: Jaden Schwartz (20), Alex Pietrangelo (19)",3119,"[8470151, 8475768, 8475765, 8470655, 8474565]"
2014021167_67,2014021167,12.0,4.0,Goal,1,REGULAR,660,2015-04-04 18:26:59,0,1,"Elias Lindholm (17) Snap Shot, assists: Jordan Staal (17), Eric Staal (29)",660,"[8477496, 8470595, 8473533, 8475753, 8468493]"
2014021167_121,2014021167,12.0,4.0,Goal,2,REGULAR,207,2015-04-04 19:03:47,0,2,"Jordan Staal (5) Wrist Shot, assists: none",1407,"[8473533, 8477496, 8470595, 8475753, 8468493]"
2014021167_159,2014021167,4.0,12.0,Goal,2,REGULAR,586,2015-04-04 19:15:56,1,2,"Michael Raffl (21) Deflected, assists: Sean Couturier (19), Michael Del Zotto (21)",1786,"[8476177, 8474584, 8477290, 8476461, 8467329]"
2014021167_316,2014021167,4.0,12.0,Goal,3,REGULAR,1090,2015-04-04 20:21:52,2,2,"Sean Couturier (14) Backhand, assists: Brayden Schenn (26), Michael Del Zotto (22)",3490,"[8475170, 8476177, 8476461, 8468309, 8474584]"
2014020874_44,2014020874,4.0,18.0,Goal,1,REGULAR,539,2015-02-21 18:23:24,0,1,"Wayne Simmonds (23) Tip-In, assists: Michael Del Zotto (16), Braydon Coburn (7)",539,"[8473512, 8477290, 8474190, 8470601, 8474584]"
2014020874_90,2014020874,18.0,4.0,Goal,1,REGULAR,1138,2015-02-21 18:38:21,1,1,"Colin Wilson (19) Wrist Shot, assists: none",1138,"[8475218, 8467371, 8477495, 8474569, 8471707]"
2014020874_152,2014020874,4.0,18.0,Goal,2,REGULAR,681,2015-02-21 19:19:25,1,2,"Ryan White (2) Wrist Shot, assists: R.J. Umberger (6), Brayden Schenn (23)",1881,"[8475170, 8473466, 8469469, 8468309, 8468513]"
2014020874_207,2014020874,18.0,4.0,Goal,3,REGULAR,23,2015-02-21 19:58:31,2,2,"Craig Smith (18) Wrist Shot, assists: Mike Fisher (16), Matt Cullen (9)",2423,"[8475225, 8464989, 8467370, 8474600, 8470642]"
2014020186_29,2014020186,2.0,24.0,Goal,1,REGULAR,218,2014-11-06 03:45:02,1,0,"John Tavares (5) Wrist Shot, assists: Calvin de Haan (2), Travis Hamonic (1)",218,"[8475177, 8474612, 8475166, 8473449, 8473579]"
