id,degree
 8474744,12
8475310,16
8467423,28
8474727,40
8471769,48
8475625,28
8471956,44
8470110,11
8471716,32
8474679,139
 8471309,91
 8471716,297
 8471794,163
 8476430,108
8474090,66
 8474873,12
8466149,4
8469485,49
 8476336,8
8475231,32
 8470644,24
8475314,149
 8475165,84
8474709,4
 8475869,20
 8476166,15
 8474516,4
8476919,31
 8475625,139
8470317,44
 8475878,12
 8475160,84
 8476406,40
8475160,24
8471724,59
 8468542,262
 8471887,305
 8471215,317
8471260,76
8468083,86
 8469457,136
 8474679,185
8476853,53
 8470920,80
8468493,16
8474091,107
8468208,24
 8466251,124
 8468498,256
 8470611,109
 8476799,4
 8471242,317
 8470666,28
8476854,53
 8470621,256
8469665,56
8470599,27
8475218,60
 8475176,220
8474009,33
 8475223,173
 8473574,142
8477500,56
8471678,118
8474564,31
8467396,46
 8476439,40
8471236,75
 8474570,64
8475220,12
 8474610,16
8470877,104
 8474642,163
8466285,20
 8477932,151
8468504,84
 8476440,93
8471245,40
8474625,36
 8471245,113
8474642,25
 8470877,89
8475287,52
8473485,106
8474716,100
 8475461,4
 8476043,8
 8475266,4
8465185,12
 8474625,199
 8475179,195
8471303,162
 8477589,60
 8476244,92
8475223,11
 8476431,39
8470614,27
 8475192,80
8469469,8
 8477930,96
 8474568,124
8470622,19
8476177,52
 8468513,138
8475268,25
8475690,35
 8468501,52
 8477444,101
8474519,20
 8469639,60
8475430,12
8477290,33
8470778,39
 8475157,8
 8476289,19
 8477215,159
 8470230,35
 8470169,71
 8467346,32
8471273,50
 8476850,39
8474125,67
8469492,12
 8471766,28
8475325,8
 8471240,8
8470612,25
8474162,47
8474613,54
 8473544,303
8468309,44
 8475855,100
 8468575,120
8475763,28
 8471436,148
8468575,51
8471958,136
8475236,62
8470171,23
8471693,43
 8476443,52
 8470667,166
 8474250,13
 8476808,83
 8476878,151
8476430,16
8474873,12
 8471693,81
8471269,28
8470601,35
8475794,19
 8469466,56
8470606,28
 8469664,27
 8471703,132
 8471476,109
8474098,100
8469759,11
8476438,138
8470666,8
 8475323,103
 8475807,20
8477591,36
8475907,13
8470607,91
8471185,127
8476431,32
8473970,4
8477213,4
 8470378,64
 8471226,175
 8475796,18
 8471388,18
8476346,39
 8468674,94
8464975,24
8471976,54
8470834,42
8471309,21
8475193,25
 8474052,76
 8475310,16
8471392,4
 8476852,24
 8473504,52
8477508,72
 8471862,5
 8462196,122
8475913,58
8476410,8
8471390,14
8471699,131
 8475151,107
 8476483,176
8476464,4
 8475767,12
 8476394,4
8475767,8
 8475182,80
 8476882,91
8471761,34
 8476312,55
 8475770,39
 8467344,184
 8476870,4
8474056,27
8476423,8
8475722,43
8465951,12
8473579,32
 8475754,135
8470187,34
8475166,107
8470041,40
 8467096,146
8477495,24
8475855,20
 8470854,68
8467876,24
8474668,60
8468483,29
 8474641,73
 8469547,76
8476480,11
8471682,12
8470640,20
8470047,12
 8459670,28
8473432,32
8475172,21
 8473560,82
8468526,35
8468508,16
8475208,8
8475790,44
8476884,24
 8475810,20
8471887,56
 8476449,12
 8476886,4
8470920,44
 8469591,23
8467407,55
8465058,8
8470207,48
 8476872,44
8476872,7
 8470207,121
8476454,24
 8476779,25
 8471474,4
8476779,12
8476062,35
 8473911,25
8476462,43
 8474638,12
 8475842,8
 8471266,24
8475750,27
 8471636,16
 8476227,4
 8474176,155
8467096,147
8470630,44
 8475763,208
8469555,40
8474096,31
8474586,108
 8474048,64
8468611,4
8468639,32
 8475671,68
8474612,13
8474176,76
 8475184,137
 8467329,120
8470699,23
8470750,24
 8476426,12
8475869,8
8476426,4
8474040,8
 8475147,44
8470598,13
8470274,75
8471804,20
8473546,8
 8473579,154
8476191,24
 8471717,67
8475810,4
 8473682,7
8475167,44
 8476884,56
 8476769,4
 8475792,60
8474581,52
8470638,45
8475204,49
 8475153,57
8475168,28
 8473415,12
8475191,27
8470626,15
8473482,20
8470828,24
8475098,31
8476392,95
 8476880,101
 8477220,72
8470611,70
8473589,4
8462038,8
8469760,20
8476356,12
8477444,93
 8475744,160
8471426,5
8476477,8
8470667,79
8468001,19
8475171,32
 8474646,28
8474673,24
